amenity,amenity_category,name,geometry,icon,color
library,Community Services,Round Rock Public Library,POINT (-97.67797828802375 30.510308744370185),book,orange
pub,Food Services,Jack & Ginger's,POINT (-97.7229454 30.4011681),beer,green
library,Community Services,Austin Public Library - John Gillum Branch,POINT (-97.73052524986667 30.36215141770736),book,orange
restaurant,Food Services,Salvation Pizza,POINT (-97.72273 30.4009665),cutlery,green
cafe,Food Services,Sunrise Teahouse,POINT (-97.6704914 30.5393216),coffee,green
restaurant,Food Services,CAVA,POINT (-97.74176898504189 30.288545185309722),cutlery,green
cafe,Food Services,Starbucks,POINT (-97.740414 30.265449),coffee,green
place_of_worship,Community Services,Oak Hill Baptist Church,POINT (-97.87868305077073 30.228238305636612),institution,orange
cafe,Food Services,Corner Bakery,POINT (-97.750673 30.393758),coffee,green
place_of_worship,Community Services,First Spiritualist Church,POINT (-97.7316642 30.3059703),institution,orange
restaurant,Food Services,Michi Ramen,POINT (-97.7841603 30.241537),cutlery,green
place_of_worship,Community Services,University United Methodist Church,POINT (-97.74121604543424 30.287922325157492),institution,orange
place_of_worship,Community Services,Faith Culture Church,POINT (-97.6729537 30.5160001),institution,orange
bar,Food Services,Little Brother,POINT (-97.7382151 30.2598097),beer,green
